molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL4460859,Nc1ncnc2c1c(I)nn2C1CC(N)C(O)C1O,1,0.06
CHEMBL330432,NCC1OC(n2cc(I)c3c(Cl)ncnc32)C(O)C1O,1,0.1
CHEMBL370164,CC1OC(n2cc(-c3ccccc3)c3c(NCC(=O)Nc4ccc(Cl)cc4)ncnc32)C(O)C1O,1,0.2
CHEMBL99707,NCC1OC(n2cc(Br)c3c(N)ncnc32)C(O)C1O,1,0.2
CHEMBL194294,OC1C(n2cc(-c3ccccc3)c3c(Nc4ccc(F)cc4)ncnc32)OC2(CC2)C1O,1,0.3
CHEMBL343247,OCC1OC(n2cc(-c3ccccc3)c3c(Nc4ccccc4)ncnc32)C(O)C1O,1,0.47
CHEMBL370011,CC1OC(n2cc(-c3ccccc3)c3c(NCC(=S)NC4CC4)ncnc32)C(O)C1O,1,0.5
CHEMBL100421,CC1OC(n2cc(-c3ccccc3)c3c(Nc4ccccc4)ncnc32)C(O)C1O,1,0.5
CHEMBL426472,CC1OC(n2cc(-c3ccccc3)c3c(NCC(=O)Nc4ccccc4)ncnc32)C(O)C1O,1,0.5
CHEMBL322611,NCC1OC(n2cc(I)c3c(N)ncnc32)C(O)C1O,1,0.6
CHEMBL200169,O=C(CNc1ncnc2c1c(-c1ccccc1)cn2C1OCC(O)C1O)Nc1ccccc1,1,0.6
CHEMBL436598,CC1OC(n2cc(-c3ccccc3)c3c(Nc4ccccc4)ncnc32)C(O)C1O,1,0.8
CHEMBL200630,CNC(=O)CNc1ncnc2c1c(-c1ccccc1)cn2C1OC(C)C(O)C1O,1,0.8
CHEMBL319315,OCC1OC(n2cc(-c3ccccc3)c3c(Nc4ccccc4)ncnc32)C(O)C1O,1,0.8
CHEMBL66280,CC1OC(n2cc(I)c3c(N)ncnc32)C(O)C1O,1,0.9
CHEMBL198566,O=C(CNc1ncnc2c1c(-c1ccccc1)nn2C1OC(CO)C(O)C1O)Nc1ccccc1,1,0.9
CHEMBL328826,CC1OC(n2c(Br)c(-c3ccccc3)c3c(Nc4ccccc4)ncnc32)C(O)C1O,1,1.0
CHEMBL98551,CC1OC(n2cc(-c3ccccc3)c3c(Nc4ccc(O)cc4)ncnc32)C(O)C1O,1,1.0
CHEMBL438449,CC1OC(n2cc(-c3ccccc3)c3c(NCC(=O)NC4CCCC4)ncnc32)C(O)C1O,1,1.0
CHEMBL174158,c1ccc(CN2CC3CCCN(c4ncnc5oc(-c6ccccc6)nc45)C3C2)cc1,1,1.0
CHEMBL369374,c1ccc(CN2CCC3CN(c4ncnc5oc(-c6ccncc6)nc45)CC32)cc1,1,1.0
CHEMBL370218,Cc1ccccc1-c1cn(C2OCC(O)C2O)c2ncnc(Nc3ccc4c(c3)OCCO4)c12,1,1.0
