canonical_smiles,bioactivity_class
CC1OC(n2cc(-c3ccccc3)c3c(Nc4cccnc4)ncnc32)C(O)C1O,1
NCC1OC(n2cc(Br)c3c(N)ncnc32)C(O)C1O,1
CCC1(c2ccc(CSc3ccc(F)cc3F)cc2)Oc2ccccc2-n2cccc2C1=O,0
Nc1ncnc2c1c(-c1ccc3c4c(cccc14)CC3)cn2C1OC(CO)C(O)C1O,0
O=C(CNc1ncnc2c1c(-c1ccccc1)cn2C1OC(CO)C(O)C1O)NC1CC1,1
CSc1ncnc2c1c(I)cn2C1OC(C)C(O)C1O,1
CC(C)CNC(=O)CNc1ncnc2c1c(-c1ccccc1)cn2C1OC(C)C(O)C1O,1
CCCCCc1cc2c(N)ncnc2nc1-c1ccc(N(C)C)cc1,0
OCC1OC(n2cc(Cl)c3c(-c4ccccc4)ncnc32)C(O)C1O,0
CC1OC(n2cc(-c3ccccc3)c3c(Nc4ccc(C#N)cc4)ncnc32)C(O)C1O,1
CN(C)c1ccc(C#Cc2ncnc(N3CCNCC3)c2-c2ccc(Cl)cc2)cc1,1
Nc1ncnc2nc(-c3ccc(N4CCC5(CC4)COCO5)nc3)cc(-c3cccc(Br)c3)c12,0
OCC1OC(n2ccc3c(-c4cc5ccccc5o4)ncnc32)C(O)C1O,0
CC1OC(n2cc(-c3ccccc3)c3c(Nc4ccccc4)ncnc32)C(O)C1O,1
CSc1ncnc2c1c1ccn(C)c1n2C1OC(CO)C(O)C1O,0
O=C1c2cccn2-c2ccccc2OC1c1ccc(CSc2cccc(C(F)(F)F)c2)cc1,0
Nc1ncnc2c1c(-c1ccc3c(c1)OCO3)cn2C1OC(CO)C(O)C1O,0
CN(Cc1ccccc1)c1c(N)ncnc1C#Cc1ccc(N2CCOCC2)nc1,1
O=C1C(c2cccc3ccccc23)Oc2cc(F)ccc2N1Cc1ccc(F)cc1,0
[N-]=[N+]=NCC1OC(n2cc(I)c3c(N)ncnc32)C(O)C1O,0
CCC1(c2ccc(CSc3ccc(I)cc3Cl)cc2)Oc2ccccc2-n2cccc2C1=O,0
CC1OC(n2cc(I)c3c(SCc4ccc([N+](=O)[O-])cc4)ncnc32)C(O)C1O,0
N#Cc1ccc(Nc2ncnc3c2c(-c2ccc(Cl)cc2)cn3C2OCC(O)C2O)cc1,1
CCc1nc2c(N3CCc4ccccc43)ncnc2n1C1OC(CO)C(O)C1O,1
CC1OC(n2cc(-c3ccccc3)c3c(NCC(=O)NCC4CC4)ncnc32)C(O)C1O,1
Cc1cn(C2OC(C)C(O)C2O)c2ncnc(Cl)c12,0
Nc1ncnc(C#Cc2ccc(N3CCOCC3)nc2)c1-c1cc2ccccc2o1,1
CC1OC(n2cc(-c3ccccc3)c3c(NCCC(N)=O)ncnc32)C(O)C1O,0
CC1OC(n2cc(-c3ccccc3)c3c(NCC(=O)NC4CC4)ncnc32)C(O)C1O,1
COc1ccc(CN2C(=O)C(c3cccc4ccccc34)Oc3ccccc32)cc1,0
[N-]=[N+]=NCC1OC(n2cc(Br)c3c(Cl)ncnc32)C(O)C1O,0
OCC1OC(n2ccc3c(-c4cn[nH]c4)ncnc32)C(O)C1O,0
OCC1OC(n2ccc3c(-c4cc[nH]n4)ncnc32)C(O)C1O,0
CC1OC(n2nc(-c3ccccc3)c3c(NCC(=O)NC4CC4)ncnc32)C(O)C1O,1
CCOc1cccc(Nc2ncnc3c2c(-c2ccccc2)cn3C2OCC(O)C2O)c1,1
CC1OC(n2cc(C#N)c3c(N)ncnc32)C(O)C1O,0
CCC1(c2ccc(C)cc2)Oc2ccccc2-n2cccc2C1=O,0
O=C(CNc1ncnc2[nH]cc(-c3ccccc3)c12)NC1CC1,0
NCC1OC(n2cc(I)c3c(N)ncnc32)C(O)C1O,1
OCC1OC(n2c(Nc3ccccc3)nc3c(N4CCc5ccccc54)ncnc32)C(O)C1O,1
O=C(Cc1ccccc1)Nc1ccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)cc1,1
Nc1ncnc(C#Cc2ccc([N+](=O)[O-])cc2)c1-c1ccc(Cl)cc1,0
CC(C)NC(=O)CNc1ncnc2c1c(-c1ccccc1)cn2C1OC(C)C(O)C1O,1
OCC1OC(n2ccc3c(-c4ccccc4)ncnc32)C(O)C1O,0
NCC1OC(n2nc(Br)c3c(N)ncnc32)C(O)C1O,1
CN(C)c1ccc(C#Cc2ncnc(N)c2-c2ccc3c(c2)OCO3)cc1,1
Nc1ncnc(C#Cc2ccc(N3CCOCC3)cc2)c1-c1ccc(Cl)cc1,1
CN(C)c1ccc(-c2cc(-c3cccc(Br)c3)c3c(N)ncnc3n2)cn1,1
CC1OC(n2cc(I)c3c(Cl)ncnc32)C(O)C1O,1
OCC1OC(n2c3ccoc3c3c(-c4ccco4)ncnc32)C(O)C1O,0
C=Cc1nc2c(Nc3ccccc3)ncnc2n1C1OC(CO)C(O)C1O,1
Nc1ncnc2c1c(Cl)cn2C1OC(CO)C(O)C1O,1
O=C(Nc1cccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)c1)C1CC1,1
Nc1ncnc2c1nc(-c1ccc(P(=O)(O)O)o1)n2CCc1ccccc1,0
COc1cccc(-c2cc3c(N)ncnc3nc2-c2ccc(N(C)C)cc2)c1,0
OCC1OC(n2ccc3c(-c4ccc[nH]4)ncnc32)C(O)C1O,0
CN(C)c1ccc(-c2nc3ncnc(N)c3c(-c3cccc(Cl)c3)c2-c2ccccc2)cn1,1
CC1OC(n2cc(-c3ccccc3)c3c(Nc4ccc(Cl)cc4)ncnc32)C(O)C1O,1
CC1OC(n2cc(-c3ccccc3)c3c(NC4CC4)ncnc32)C(O)C1O,0
OCC1OC(n2cc(-c3ccccc3)c3c(Nc4ccc(F)cc4)ncnc32)C(O)C1O,1
NC(=O)c1cn(C2OC(CO)C(O)C2O)c2ncnc(N)c12,0
C=Cc1nc2c(N3CCc4ccccc43)ncnc2n1C1OC(CO)C(O)C1O,1
CN(C)c1ccc(C#Cc2ncnc(N)c2-c2ccc(Cl)cc2)cc1,1
CC1OC(n2cc(-c3ccccc3)c3c(N4CCc5ccccc54)ncnc32)C(O)C1O,1
CCc1cc(F)c(N)c2nc(-c3ccc(P(=O)(O)O)o3)n(CC(C)C)c12,0
