mean_test_score,params,solver,activation,learning_rate,hidden_layer_sizes
0.9148024366541041,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'constant', 'solver': 'sgd'}",sgd,relu,constant,"(20, 20, 20)"
0.9067150205029748,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'constant', 'solver': 'lbfgs'}",lbfgs,relu,constant,"(20, 20, 20)"
0.9266206831164521,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'constant', 'solver': 'adam'}",adam,relu,constant,"(20, 20, 20)"
0.7350162364597406,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'invscaling', 'solver': 'sgd'}",sgd,relu,invscaling,"(20, 20, 20)"
0.9067150205029748,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'invscaling', 'solver': 'lbfgs'}",lbfgs,relu,invscaling,"(20, 20, 20)"
0.9266206831164521,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'invscaling', 'solver': 'adam'}",adam,relu,invscaling,"(20, 20, 20)"
0.9148024366541041,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'adaptive', 'solver': 'sgd'}",sgd,relu,adaptive,"(20, 20, 20)"
0.9067150205029748,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",lbfgs,relu,adaptive,"(20, 20, 20)"
0.9266206831164521,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'adaptive', 'solver': 'adam'}",adam,relu,adaptive,"(20, 20, 20)"
0.9022849557941643,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 65), 'learning_rate': 'constant', 'solver': 'sgd'}",sgd,relu,constant,"(20, 20, 65)"
0.9230083671099102,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 65), 'learning_rate': 'constant', 'solver': 'lbfgs'}",lbfgs,relu,constant,"(20, 20, 65)"
0.9225106070302687,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 65), 'learning_rate': 'constant', 'solver': 'adam'}",adam,relu,constant,"(20, 20, 65)"
