mean_test_score,params,n_neighbors,algorithm,weights,p
0.8788937874801489,"{'algorithm': 'auto', 'n_neighbors': 2, 'p': 1, 'weights': 'uniform'}",2,auto,uniform,1
0.876307805352106,"{'algorithm': 'auto', 'n_neighbors': 2, 'p': 1, 'weights': 'distance'}",2,auto,distance,1
0.8788937874801489,"{'algorithm': 'auto', 'n_neighbors': 2, 'p': 2, 'weights': 'uniform'}",2,auto,uniform,2
0.876307805352106,"{'algorithm': 'auto', 'n_neighbors': 2, 'p': 2, 'weights': 'distance'}",2,auto,distance,2
0.8895008177487023,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",3,auto,uniform,1
0.8874197065585815,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",3,auto,distance,1
0.8895008177487023,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",3,auto,uniform,2
0.8868366161795729,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",3,auto,distance,2
0.9055891346085472,"{'algorithm': 'auto', 'n_neighbors': 4, 'p': 1, 'weights': 'uniform'}",4,auto,uniform,1
0.9030244850553462,"{'algorithm': 'auto', 'n_neighbors': 4, 'p': 1, 'weights': 'distance'}",4,auto,distance,1
0.9055891346085472,"{'algorithm': 'auto', 'n_neighbors': 4, 'p': 2, 'weights': 'uniform'}",4,auto,uniform,2
0.9010761098864633,"{'algorithm': 'auto', 'n_neighbors': 4, 'p': 2, 'weights': 'distance'}",4,auto,distance,2
0.9144705966010097,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",5,auto,uniform,1
0.9073087771694043,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",5,auto,distance,1
0.9144705966010097,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",5,auto,uniform,2
0.9059482329517173,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",5,auto,distance,2
0.9170079878641351,"{'algorithm': 'auto', 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}",6,auto,uniform,1
0.9096660266894215,"{'algorithm': 'auto', 'n_neighbors': 6, 'p': 1, 'weights': 'distance'}",6,auto,distance,1
0.9170079878641351,"{'algorithm': 'auto', 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}",6,auto,uniform,2
0.9084002939154756,"{'algorithm': 'auto', 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}",6,auto,distance,2
0.9109839057574248,"{'algorithm': 'auto', 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",7,auto,uniform,1
0.9064139941690961,"{'algorithm': 'auto', 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",7,auto,distance,1
0.9109839057574248,"{'algorithm': 'auto', 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",7,auto,uniform,2
0.9045628007300479,"{'algorithm': 'auto', 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",7,auto,distance,2
0.909434923795302,"{'algorithm': 'auto', 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}",8,auto,uniform,1
0.9061271895517787,"{'algorithm': 'auto', 'n_neighbors': 8, 'p': 1, 'weights': 'distance'}",8,auto,distance,1
0.909434923795302,"{'algorithm': 'auto', 'n_neighbors': 8, 'p': 2, 'weights': 'uniform'}",8,auto,uniform,2
0.9031050747825263,"{'algorithm': 'auto', 'n_neighbors': 8, 'p': 2, 'weights': 'distance'}",8,auto,distance,2
0.9045924293062173,"{'algorithm': 'auto', 'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",9,auto,uniform,1
0.9016615705515655,"{'algorithm': 'auto', 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",9,auto,distance,1
0.9045924293062173,"{'algorithm': 'auto', 'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",9,auto,uniform,2
0.8983573917371827,"{'algorithm': 'auto', 'n_neighbors': 9, 'p': 2, 'weights': 'distance'}",9,auto,distance,2
0.9052833677024819,"{'algorithm': 'auto', 'n_neighbors': 10, 'p': 1, 'weights': 'uniform'}",10,auto,uniform,1
0.9038671217615966,"{'algorithm': 'auto', 'n_neighbors': 10, 'p': 1, 'weights': 'distance'}",10,auto,distance,1
