mean_test_score,params,solver,activation,learning_rate,hidden_layer_sizes
0.8715221977292659,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'constant', 'solver': 'sgd'}",sgd,relu,constant,"(20, 20, 20)"
0.866260162601626,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'constant', 'solver': 'lbfgs'}",lbfgs,relu,constant,"(20, 20, 20)"
0.904947972220247,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'constant', 'solver': 'adam'}",adam,relu,constant,"(20, 20, 20)"
0.5808018677854416,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'invscaling', 'solver': 'sgd'}",sgd,relu,invscaling,"(20, 20, 20)"
0.866260162601626,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'invscaling', 'solver': 'lbfgs'}",lbfgs,relu,invscaling,"(20, 20, 20)"
0.904947972220247,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'invscaling', 'solver': 'adam'}",adam,relu,invscaling,"(20, 20, 20)"
0.8715221977292659,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'adaptive', 'solver': 'sgd'}",sgd,relu,adaptive,"(20, 20, 20)"
0.866260162601626,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",lbfgs,relu,adaptive,"(20, 20, 20)"
0.904947972220247,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'adaptive', 'solver': 'adam'}",adam,relu,adaptive,"(20, 20, 20)"
0.868298608642063,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 65), 'learning_rate': 'constant', 'solver': 'sgd'}",sgd,relu,constant,"(20, 20, 65)"
0.8823769228945935,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 65), 'learning_rate': 'constant', 'solver': 'lbfgs'}",lbfgs,relu,constant,"(20, 20, 65)"
0.8970762521036288,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 65), 'learning_rate': 'constant', 'solver': 'adam'}",adam,relu,constant,"(20, 20, 65)"
0.597303799568608,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 65), 'learning_rate': 'invscaling', 'solver': 'sgd'}",sgd,relu,invscaling,"(20, 20, 65)"
0.8823769228945935,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 65), 'learning_rate': 'invscaling', 'solver': 'lbfgs'}",lbfgs,relu,invscaling,"(20, 20, 65)"
0.8970762521036288,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 65), 'learning_rate': 'invscaling', 'solver': 'adam'}",adam,relu,invscaling,"(20, 20, 65)"
0.868298608642063,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 65), 'learning_rate': 'adaptive', 'solver': 'sgd'}",sgd,relu,adaptive,"(20, 20, 65)"
0.8823769228945935,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 65), 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",lbfgs,relu,adaptive,"(20, 20, 65)"
0.8970762521036288,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 65), 'learning_rate': 'adaptive', 'solver': 'adam'}",adam,relu,adaptive,"(20, 20, 65)"
0.8728708905164853,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 110), 'learning_rate': 'constant', 'solver': 'sgd'}",sgd,relu,constant,"(20, 20, 110)"
0.8785394297091658,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 110), 'learning_rate': 'constant', 'solver': 'lbfgs'}",lbfgs,relu,constant,"(20, 20, 110)"
0.8994726113441892,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 110), 'learning_rate': 'constant', 'solver': 'adam'}",adam,relu,constant,"(20, 20, 110)"
0.5613370783853611,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 110), 'learning_rate': 'invscaling', 'solver': 'sgd'}",sgd,relu,invscaling,"(20, 20, 110)"
0.8785394297091658,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 110), 'learning_rate': 'invscaling', 'solver': 'lbfgs'}",lbfgs,relu,invscaling,"(20, 20, 110)"
0.8994726113441892,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 110), 'learning_rate': 'invscaling', 'solver': 'adam'}",adam,relu,invscaling,"(20, 20, 110)"
0.8728708905164853,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 110), 'learning_rate': 'adaptive', 'solver': 'sgd'}",sgd,relu,adaptive,"(20, 20, 110)"
