mean_test_score,params,n_neighbors,algorithm,weights,p
0.8582367441750218,"{'algorithm': 'auto', 'n_neighbors': 2, 'p': 1, 'weights': 'uniform'}",2,auto,uniform,1
0.8525397615492191,"{'algorithm': 'auto', 'n_neighbors': 2, 'p': 1, 'weights': 'distance'}",2,auto,distance,1
0.8582367441750218,"{'algorithm': 'auto', 'n_neighbors': 2, 'p': 2, 'weights': 'uniform'}",2,auto,uniform,2
0.8525397615492191,"{'algorithm': 'auto', 'n_neighbors': 2, 'p': 2, 'weights': 'distance'}",2,auto,distance,2
0.8834684396406646,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",3,auto,uniform,1
0.8742029913010502,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",3,auto,distance,1
0.8834684396406646,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",3,auto,uniform,2
0.8741034392851217,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",3,auto,distance,2
0.8895873331911162,"{'algorithm': 'auto', 'n_neighbors': 4, 'p': 1, 'weights': 'uniform'}",4,auto,uniform,1
0.8837919836924316,"{'algorithm': 'auto', 'n_neighbors': 4, 'p': 1, 'weights': 'distance'}",4,auto,distance,1
0.8895873331911162,"{'algorithm': 'auto', 'n_neighbors': 4, 'p': 2, 'weights': 'uniform'}",4,auto,uniform,2
0.882540472635047,"{'algorithm': 'auto', 'n_neighbors': 4, 'p': 2, 'weights': 'distance'}",4,auto,distance,2
0.8871009030790017,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",5,auto,uniform,1
0.8834696247837114,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",5,auto,distance,1
0.8871009030790017,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",5,auto,uniform,2
0.8802721088435372,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",5,auto,distance,2
0.8948635900353171,"{'algorithm': 'auto', 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}",6,auto,uniform,1
0.8878949489203347,"{'algorithm': 'auto', 'n_neighbors': 6, 'p': 1, 'weights': 'distance'}",6,auto,distance,1
0.8948635900353171,"{'algorithm': 'auto', 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}",6,auto,uniform,2
0.8849937187418522,"{'algorithm': 'auto', 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}",6,auto,distance,2
0.8967598189101424,"{'algorithm': 'auto', 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",7,auto,uniform,1
0.8893858588731659,"{'algorithm': 'auto', 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",7,auto,distance,1
0.8967598189101424,"{'algorithm': 'auto', 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",7,auto,uniform,2
0.8857048045699116,"{'algorithm': 'auto', 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",7,auto,distance,2
0.8966650074664011,"{'algorithm': 'auto', 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}",8,auto,uniform,1
0.887766953471284,"{'algorithm': 'auto', 'n_neighbors': 8, 'p': 1, 'weights': 'distance'}",8,auto,distance,1
0.8966650074664011,"{'algorithm': 'auto', 'n_neighbors': 8, 'p': 2, 'weights': 'uniform'}",8,auto,uniform,2
0.8850577164663775,"{'algorithm': 'auto', 'n_neighbors': 8, 'p': 2, 'weights': 'distance'}",8,auto,distance,2
0.9005534618028396,"{'algorithm': 'auto', 'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",9,auto,uniform,1
0.8893775628718386,"{'algorithm': 'auto', 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",9,auto,distance,1
0.9005534618028396,"{'algorithm': 'auto', 'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",9,auto,uniform,2
0.8865711441370973,"{'algorithm': 'auto', 'n_neighbors': 9, 'p': 2, 'weights': 'distance'}",9,auto,distance,2
0.901786010571476,"{'algorithm': 'auto', 'n_neighbors': 10, 'p': 1, 'weights': 'uniform'}",10,auto,uniform,1
0.8905864087795397,"{'algorithm': 'auto', 'n_neighbors': 10, 'p': 1, 'weights': 'distance'}",10,auto,distance,1
0.901786010571476,"{'algorithm': 'auto', 'n_neighbors': 10, 'p': 2, 'weights': 'uniform'}",10,auto,uniform,2
0.8862321932257222,"{'algorithm': 'auto', 'n_neighbors': 10, 'p': 2, 'weights': 'distance'}",10,auto,distance,2
0.90693664225272,"{'algorithm': 'auto', 'n_neighbors': 11, 'p': 1, 'weights': 'uniform'}",11,auto,uniform,1
0.8925703382398253,"{'algorithm': 'auto', 'n_neighbors': 11, 'p': 1, 'weights': 'distance'}",11,auto,distance,1
0.90693664225272,"{'algorithm': 'auto', 'n_neighbors': 11, 'p': 2, 'weights': 'uniform'}",11,auto,uniform,2
0.8909419516935694,"{'algorithm': 'auto', 'n_neighbors': 11, 'p': 2, 'weights': 'distance'}",11,auto,distance,2
0.9081905235961981,"{'algorithm': 'auto', 'n_neighbors': 12, 'p': 1, 'weights': 'uniform'}",12,auto,uniform,1
0.8926189291047428,"{'algorithm': 'auto', 'n_neighbors': 12, 'p': 1, 'weights': 'distance'}",12,auto,distance,1
0.9081905235961981,"{'algorithm': 'auto', 'n_neighbors': 12, 'p': 2, 'weights': 'uniform'}",12,auto,uniform,2
0.8904998933371259,"{'algorithm': 'auto', 'n_neighbors': 12, 'p': 2, 'weights': 'distance'}",12,auto,distance,2
0.9060572661120198,"{'algorithm': 'auto', 'n_neighbors': 13, 'p': 1, 'weights': 'uniform'}",13,auto,uniform,1
0.891288013463225,"{'algorithm': 'auto', 'n_neighbors': 13, 'p': 1, 'weights': 'distance'}",13,auto,distance,1
0.9060572661120198,"{'algorithm': 'auto', 'n_neighbors': 13, 'p': 2, 'weights': 'uniform'}",13,auto,uniform,2
0.8889675033776576,"{'algorithm': 'auto', 'n_neighbors': 13, 'p': 2, 'weights': 'distance'}",13,auto,distance,2
0.9070717485600511,"{'algorithm': 'auto', 'n_neighbors': 14, 'p': 1, 'weights': 'uniform'}",14,auto,uniform,1
0.8905046339093129,"{'algorithm': 'auto', 'n_neighbors': 14, 'p': 1, 'weights': 'distance'}",14,auto,distance,1
0.9070717485600511,"{'algorithm': 'auto', 'n_neighbors': 14, 'p': 2, 'weights': 'uniform'}",14,auto,uniform,2
0.8884614472966887,"{'algorithm': 'auto', 'n_neighbors': 14, 'p': 2, 'weights': 'distance'}",14,auto,distance,2
0.9075268434900092,"{'algorithm': 'auto', 'n_neighbors': 15, 'p': 1, 'weights': 'uniform'}",15,auto,uniform,1
0.8915617815070279,"{'algorithm': 'auto', 'n_neighbors': 15, 'p': 1, 'weights': 'distance'}",15,auto,distance,1
0.9075268434900092,"{'algorithm': 'auto', 'n_neighbors': 15, 'p': 2, 'weights': 'uniform'}",15,auto,uniform,2
0.8899997629713907,"{'algorithm': 'auto', 'n_neighbors': 15, 'p': 2, 'weights': 'distance'}",15,auto,distance,2
