mean_test_score,params
,"{'C': 0.1, 'class_weight': 'none', 'gamma': 'scale', 'kernel': 'linear', 'shrinking': True}"
,"{'C': 0.1, 'class_weight': 'none', 'gamma': 'scale', 'kernel': 'linear', 'shrinking': False}"
,"{'C': 0.1, 'class_weight': 'none', 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}"
,"{'C': 0.1, 'class_weight': 'none', 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': False}"
,"{'C': 0.1, 'class_weight': 'none', 'gamma': 'scale', 'kernel': 'sigmoid', 'shrinking': True}"
,"{'C': 0.1, 'class_weight': 'none', 'gamma': 'scale', 'kernel': 'sigmoid', 'shrinking': False}"
,"{'C': 0.1, 'class_weight': 'none', 'gamma': 'auto', 'kernel': 'linear', 'shrinking': True}"
,"{'C': 0.1, 'class_weight': 'none', 'gamma': 'auto', 'kernel': 'linear', 'shrinking': False}"
,"{'C': 0.1, 'class_weight': 'none', 'gamma': 'auto', 'kernel': 'rbf', 'shrinking': True}"
,"{'C': 0.1, 'class_weight': 'none', 'gamma': 'auto', 'kernel': 'rbf', 'shrinking': False}"
,"{'C': 0.1, 'class_weight': 'none', 'gamma': 'auto', 'kernel': 'sigmoid', 'shrinking': True}"
,"{'C': 0.1, 'class_weight': 'none', 'gamma': 'auto', 'kernel': 'sigmoid', 'shrinking': False}"
0.9047512384744838,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'linear', 'shrinking': True}"
0.9047512384744838,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'linear', 'shrinking': False}"
0.8372288985280523,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}"
0.8372288985280523,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': False}"
0.787898504349475,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'sigmoid', 'shrinking': True}"
0.787898504349475,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'sigmoid', 'shrinking': False}"
0.9047512384744838,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'linear', 'shrinking': True}"
0.9047512384744838,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'linear', 'shrinking': False}"
0.8010464813102942,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'rbf', 'shrinking': True}"
0.8010464813102942,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'rbf', 'shrinking': False}"
0.7958745170542085,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'sigmoid', 'shrinking': True}"
0.7958745170542085,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'sigmoid', 'shrinking': False}"
,"{'C': 1, 'class_weight': 'none', 'gamma': 'scale', 'kernel': 'linear', 'shrinking': True}"
,"{'C': 1, 'class_weight': 'none', 'gamma': 'scale', 'kernel': 'linear', 'shrinking': False}"
,"{'C': 1, 'class_weight': 'none', 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}"
,"{'C': 1, 'class_weight': 'none', 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': False}"
,"{'C': 1, 'class_weight': 'none', 'gamma': 'scale', 'kernel': 'sigmoid', 'shrinking': True}"
,"{'C': 1, 'class_weight': 'none', 'gamma': 'scale', 'kernel': 'sigmoid', 'shrinking': False}"
,"{'C': 1, 'class_weight': 'none', 'gamma': 'auto', 'kernel': 'linear', 'shrinking': True}"
