mean_test_score,params,solver,activation,learning_rate,hidden_layer_sizes
0.8941062836284338,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'constant', 'solver': 'sgd'}",sgd,relu,constant,"(20, 20, 20)"
0.8944120505344996,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'constant', 'solver': 'lbfgs'}",lbfgs,relu,constant,"(20, 20, 20)"
0.9191554670648747,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'constant', 'solver': 'adam'}",adam,relu,constant,"(20, 20, 20)"
0.5084299224916448,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'invscaling', 'solver': 'sgd'}",sgd,relu,invscaling,"(20, 20, 20)"
0.8944120505344996,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'invscaling', 'solver': 'lbfgs'}",lbfgs,relu,invscaling,"(20, 20, 20)"
0.9191554670648747,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'invscaling', 'solver': 'adam'}",adam,relu,invscaling,"(20, 20, 20)"
0.8941062836284338,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'adaptive', 'solver': 'sgd'}",sgd,relu,adaptive,"(20, 20, 20)"
0.8944120505344996,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",lbfgs,relu,adaptive,"(20, 20, 20)"
0.9191554670648747,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'adaptive', 'solver': 'adam'}",adam,relu,adaptive,"(20, 20, 20)"
0.8650110218303348,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 65), 'learning_rate': 'constant', 'solver': 'sgd'}",sgd,relu,constant,"(20, 20, 65)"
0.9041788143828959,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 65), 'learning_rate': 'constant', 'solver': 'lbfgs'}",lbfgs,relu,constant,"(20, 20, 65)"
0.9128576169143615,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 65), 'learning_rate': 'constant', 'solver': 'adam'}",adam,relu,constant,"(20, 20, 65)"
0.5949074403280477,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 65), 'learning_rate': 'invscaling', 'solver': 'sgd'}",sgd,relu,invscaling,"(20, 20, 65)"
0.9041788143828959,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 65), 'learning_rate': 'invscaling', 'solver': 'lbfgs'}",lbfgs,relu,invscaling,"(20, 20, 65)"
0.9128576169143615,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 65), 'learning_rate': 'invscaling', 'solver': 'adam'}",adam,relu,invscaling,"(20, 20, 65)"
0.8650110218303348,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 65), 'learning_rate': 'adaptive', 'solver': 'sgd'}",sgd,relu,adaptive,"(20, 20, 65)"
0.9041788143828959,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 65), 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",lbfgs,relu,adaptive,"(20, 20, 65)"
0.9128576169143615,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 65), 'learning_rate': 'adaptive', 'solver': 'adam'}",adam,relu,adaptive,"(20, 20, 65)"
0.8436191898362132,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 110), 'learning_rate': 'constant', 'solver': 'sgd'}",sgd,relu,constant,"(20, 20, 110)"
0.88648225840859,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 110), 'learning_rate': 'constant', 'solver': 'lbfgs'}",lbfgs,relu,constant,"(20, 20, 110)"
0.9113785583919978,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 110), 'learning_rate': 'constant', 'solver': 'adam'}",adam,relu,constant,"(20, 20, 110)"
0.425417762923985,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 110), 'learning_rate': 'invscaling', 'solver': 'sgd'}",sgd,relu,invscaling,"(20, 20, 110)"
0.88648225840859,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 110), 'learning_rate': 'invscaling', 'solver': 'lbfgs'}",lbfgs,relu,invscaling,"(20, 20, 110)"
0.9113785583919978,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 110), 'learning_rate': 'invscaling', 'solver': 'adam'}",adam,relu,invscaling,"(20, 20, 110)"
0.8436191898362132,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 110), 'learning_rate': 'adaptive', 'solver': 'sgd'}",sgd,relu,adaptive,"(20, 20, 110)"
0.88648225840859,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 110), 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",lbfgs,relu,adaptive,"(20, 20, 110)"
0.9113785583919978,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 110), 'learning_rate': 'adaptive', 'solver': 'adam'}",adam,relu,adaptive,"(20, 20, 110)"
0.858834056270592,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'constant', 'solver': 'sgd'}",sgd,relu,constant,"(20, 20, 155)"
0.8966602668942141,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'constant', 'solver': 'lbfgs'}",lbfgs,relu,constant,"(20, 20, 155)"
0.9095581786721658,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'constant', 'solver': 'adam'}",adam,relu,constant,"(20, 20, 155)"
0.6179774348763896,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'invscaling', 'solver': 'sgd'}",sgd,relu,invscaling,"(20, 20, 155)"
0.8966602668942141,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'invscaling', 'solver': 'lbfgs'}",lbfgs,relu,invscaling,"(20, 20, 155)"
0.9095581786721658,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'invscaling', 'solver': 'adam'}",adam,relu,invscaling,"(20, 20, 155)"
0.858834056270592,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'adaptive', 'solver': 'sgd'}",sgd,relu,adaptive,"(20, 20, 155)"
0.8966602668942141,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",lbfgs,relu,adaptive,"(20, 20, 155)"
0.9095581786721658,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'adaptive', 'solver': 'adam'}",adam,relu,adaptive,"(20, 20, 155)"
0.8319526416838512,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'constant', 'solver': 'sgd'}",sgd,relu,constant,"(20, 20, 200)"
0.9068548673824932,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'constant', 'solver': 'lbfgs'}",lbfgs,relu,constant,"(20, 20, 200)"
0.9138649885041124,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'constant', 'solver': 'adam'}",adam,relu,constant,"(20, 20, 200)"
