mean_test_score,params,solver,activation,learning_rate,hidden_layer_sizes
0.8229585911019459,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'constant', 'solver': 'sgd'}",sgd,relu,constant,"(20, 20, 20)"
0.8317132427884045,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'constant', 'solver': 'lbfgs'}",lbfgs,relu,constant,"(20, 20, 20)"
0.8534783948422575,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'constant', 'solver': 'adam'}",adam,relu,constant,"(20, 20, 20)"
0.5821304131408661,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'invscaling', 'solver': 'sgd'}",sgd,relu,invscaling,"(20, 20, 20)"
0.8317132427884045,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'invscaling', 'solver': 'lbfgs'}",lbfgs,relu,invscaling,"(20, 20, 20)"
0.8534783948422575,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'invscaling', 'solver': 'adam'}",adam,relu,invscaling,"(20, 20, 20)"
0.8229585911019459,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'adaptive', 'solver': 'sgd'}",sgd,relu,adaptive,"(20, 20, 20)"
0.8317132427884045,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",lbfgs,relu,adaptive,"(20, 20, 20)"
0.8534783948422575,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 20), 'learning_rate': 'adaptive', 'solver': 'adam'}",adam,relu,adaptive,"(20, 20, 20)"
0.8166536300931522,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 65), 'learning_rate': 'constant', 'solver': 'sgd'}",sgd,relu,constant,"(20, 20, 65)"
0.8678435137121051,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 65), 'learning_rate': 'constant', 'solver': 'lbfgs'}",lbfgs,relu,constant,"(20, 20, 65)"
0.851335656213705,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 65), 'learning_rate': 'constant', 'solver': 'adam'}",adam,relu,constant,"(20, 20, 65)"
0.35619474270544454,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 65), 'learning_rate': 'invscaling', 'solver': 'sgd'}",sgd,relu,invscaling,"(20, 20, 65)"
0.8678435137121051,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 65), 'learning_rate': 'invscaling', 'solver': 'lbfgs'}",lbfgs,relu,invscaling,"(20, 20, 65)"
0.851335656213705,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 65), 'learning_rate': 'invscaling', 'solver': 'adam'}",adam,relu,invscaling,"(20, 20, 65)"
0.8166536300931522,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 65), 'learning_rate': 'adaptive', 'solver': 'sgd'}",sgd,relu,adaptive,"(20, 20, 65)"
0.8678435137121051,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 65), 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",lbfgs,relu,adaptive,"(20, 20, 65)"
0.851335656213705,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 65), 'learning_rate': 'adaptive', 'solver': 'adam'}",adam,relu,adaptive,"(20, 20, 65)"
0.8289957097821707,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 110), 'learning_rate': 'constant', 'solver': 'sgd'}",sgd,relu,constant,"(20, 20, 110)"
0.8400293915475598,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 110), 'learning_rate': 'constant', 'solver': 'lbfgs'}",lbfgs,relu,constant,"(20, 20, 110)"
0.8666287420891703,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 110), 'learning_rate': 'constant', 'solver': 'adam'}",adam,relu,constant,"(20, 20, 110)"
0.6493185427481096,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 110), 'learning_rate': 'invscaling', 'solver': 'sgd'}",sgd,relu,invscaling,"(20, 20, 110)"
0.8400293915475598,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 110), 'learning_rate': 'invscaling', 'solver': 'lbfgs'}",lbfgs,relu,invscaling,"(20, 20, 110)"
0.8666287420891703,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 110), 'learning_rate': 'invscaling', 'solver': 'adam'}",adam,relu,invscaling,"(20, 20, 110)"
0.8289957097821707,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 110), 'learning_rate': 'adaptive', 'solver': 'sgd'}",sgd,relu,adaptive,"(20, 20, 110)"
0.8400293915475598,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 110), 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",lbfgs,relu,adaptive,"(20, 20, 110)"
