mean_test_score,params
,"{'C': 0.1, 'class_weight': 'none', 'gamma': 'scale', 'kernel': 'linear', 'shrinking': True}"
,"{'C': 0.1, 'class_weight': 'none', 'gamma': 'scale', 'kernel': 'linear', 'shrinking': False}"
,"{'C': 0.1, 'class_weight': 'none', 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}"
,"{'C': 0.1, 'class_weight': 'none', 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': False}"
,"{'C': 0.1, 'class_weight': 'none', 'gamma': 'scale', 'kernel': 'sigmoid', 'shrinking': True}"
,"{'C': 0.1, 'class_weight': 'none', 'gamma': 'scale', 'kernel': 'sigmoid', 'shrinking': False}"
,"{'C': 0.1, 'class_weight': 'none', 'gamma': 'auto', 'kernel': 'linear', 'shrinking': True}"
,"{'C': 0.1, 'class_weight': 'none', 'gamma': 'auto', 'kernel': 'linear', 'shrinking': False}"
,"{'C': 0.1, 'class_weight': 'none', 'gamma': 'auto', 'kernel': 'rbf', 'shrinking': True}"
,"{'C': 0.1, 'class_weight': 'none', 'gamma': 'auto', 'kernel': 'rbf', 'shrinking': False}"
,"{'C': 0.1, 'class_weight': 'none', 'gamma': 'auto', 'kernel': 'sigmoid', 'shrinking': True}"
,"{'C': 0.1, 'class_weight': 'none', 'gamma': 'auto', 'kernel': 'sigmoid', 'shrinking': False}"
0.8591220460309559,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'linear', 'shrinking': True}"
0.8594135912204603,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'linear', 'shrinking': False}"
0.8076868378013227,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}"
0.8076868378013227,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': False}"
0.790059020123729,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'sigmoid', 'shrinking': True}"
0.790059020123729,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'sigmoid', 'shrinking': False}"
0.8591220460309559,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'linear', 'shrinking': True}"
0.8594135912204603,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'linear', 'shrinking': False}"
0.797667638483965,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'rbf', 'shrinking': True}"
0.797667638483965,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'rbf', 'shrinking': False}"
0.7976818602005262,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'sigmoid', 'shrinking': True}"
0.7976818602005262,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'sigmoid', 'shrinking': False}"
,"{'C': 1, 'class_weight': 'none', 'gamma': 'scale', 'kernel': 'linear', 'shrinking': True}"
,"{'C': 1, 'class_weight': 'none', 'gamma': 'scale', 'kernel': 'linear', 'shrinking': False}"
,"{'C': 1, 'class_weight': 'none', 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}"
,"{'C': 1, 'class_weight': 'none', 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': False}"
,"{'C': 1, 'class_weight': 'none', 'gamma': 'scale', 'kernel': 'sigmoid', 'shrinking': True}"
,"{'C': 1, 'class_weight': 'none', 'gamma': 'scale', 'kernel': 'sigmoid', 'shrinking': False}"
,"{'C': 1, 'class_weight': 'none', 'gamma': 'auto', 'kernel': 'linear', 'shrinking': True}"
