mean_test_score,params,n_neighbors,algorithm,weights,p
0.8823472943184243,"{'algorithm': 'auto', 'n_neighbors': 2, 'p': 1, 'weights': 'uniform'}",2,auto,uniform,1
0.8772168100689754,"{'algorithm': 'auto', 'n_neighbors': 2, 'p': 1, 'weights': 'distance'}",2,auto,distance,1
0.8823472943184243,"{'algorithm': 'auto', 'n_neighbors': 2, 'p': 2, 'weights': 'uniform'}",2,auto,uniform,2
0.8772168100689754,"{'algorithm': 'auto', 'n_neighbors': 2, 'p': 2, 'weights': 'distance'}",2,auto,distance,2
0.887488444855294,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",3,auto,uniform,1
0.8819123468202612,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",3,auto,distance,1
0.887488444855294,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",3,auto,uniform,2
0.8819123468202612,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",3,auto,distance,2
0.8932126857711726,"{'algorithm': 'auto', 'n_neighbors': 4, 'p': 1, 'weights': 'uniform'}",4,auto,uniform,1
0.8856763611367893,"{'algorithm': 'auto', 'n_neighbors': 4, 'p': 1, 'weights': 'distance'}",4,auto,distance,1
0.8932126857711726,"{'algorithm': 'auto', 'n_neighbors': 4, 'p': 2, 'weights': 'uniform'}",4,auto,uniform,2
0.8857759131527174,"{'algorithm': 'auto', 'n_neighbors': 4, 'p': 2, 'weights': 'distance'}",4,auto,distance,2
0.8984142786034273,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",5,auto,uniform,1
0.8897390315011021,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",5,auto,distance,1
0.8984142786034273,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",5,auto,uniform,2
0.8889592073763304,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",5,auto,distance,2
0.9063701438763658,"{'algorithm': 'auto', 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}",6,auto,uniform,1
0.8949204769015621,"{'algorithm': 'auto', 'n_neighbors': 6, 'p': 1, 'weights': 'distance'}",6,auto,distance,1
0.9063701438763658,"{'algorithm': 'auto', 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}",6,auto,uniform,2
0.8943373865225533,"{'algorithm': 'auto', 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}",6,auto,distance,2
0.9047725710493257,"{'algorithm': 'auto', 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",7,auto,uniform,1
0.8951575055109151,"{'algorithm': 'auto', 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",7,auto,distance,1
0.9047725710493257,"{'algorithm': 'auto', 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",7,auto,uniform,2
0.894773519163763,"{'algorithm': 'auto', 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",7,auto,distance,2
0.9092073763303231,"{'algorithm': 'auto', 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}",8,auto,uniform,1
0.8983514660219489,"{'algorithm': 'auto', 'n_neighbors': 8, 'p': 1, 'weights': 'distance'}",8,auto,distance,1
0.9092073763303231,"{'algorithm': 'auto', 'n_neighbors': 8, 'p': 2, 'weights': 'uniform'}",8,auto,uniform,2
0.8979651093887032,"{'algorithm': 'auto', 'n_neighbors': 8, 'p': 2, 'weights': 'distance'}",8,auto,distance,2
0.9129322809263078,"{'algorithm': 'auto', 'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",9,auto,uniform,1
0.9005546469458864,"{'algorithm': 'auto', 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",9,auto,distance,1
0.9129322809263078,"{'algorithm': 'auto', 'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",9,auto,uniform,2
0.8998743748370426,"{'algorithm': 'auto', 'n_neighbors': 9, 'p': 2, 'weights': 'distance'}",9,auto,distance,2
0.9100464576074332,"{'algorithm': 'auto', 'n_neighbors': 10, 'p': 1, 'weights': 'uniform'}",10,auto,uniform,1
0.9004408732133969,"{'algorithm': 'auto', 'n_neighbors': 10, 'p': 1, 'weights': 'distance'}",10,auto,distance,1
0.9100464576074332,"{'algorithm': 'auto', 'n_neighbors': 10, 'p': 2, 'weights': 'uniform'}",10,auto,uniform,2
0.8985944203465358,"{'algorithm': 'auto', 'n_neighbors': 10, 'p': 2, 'weights': 'distance'}",10,auto,distance,2
0.907209225153476,"{'algorithm': 'auto', 'n_neighbors': 11, 'p': 1, 'weights': 'uniform'}",11,auto,uniform,1
0.8986821209319965,"{'algorithm': 'auto', 'n_neighbors': 11, 'p': 1, 'weights': 'distance'}",11,auto,distance,1
0.907209225153476,"{'algorithm': 'auto', 'n_neighbors': 11, 'p': 2, 'weights': 'uniform'}",11,auto,uniform,2
0.8971201023963593,"{'algorithm': 'auto', 'n_neighbors': 11, 'p': 2, 'weights': 'distance'}",11,auto,distance,2
0.9079594207020788,"{'algorithm': 'auto', 'n_neighbors': 12, 'p': 1, 'weights': 'uniform'}",12,auto,uniform,1
0.8996646045177652,"{'algorithm': 'auto', 'n_neighbors': 12, 'p': 1, 'weights': 'distance'}",12,auto,distance,1
0.9079594207020788,"{'algorithm': 'auto', 'n_neighbors': 12, 'p': 2, 'weights': 'uniform'}",12,auto,uniform,2
0.8977162293488824,"{'algorithm': 'auto', 'n_neighbors': 12, 'p': 2, 'weights': 'distance'}",12,auto,distance,2
0.9099504610206453,"{'algorithm': 'auto', 'n_neighbors': 13, 'p': 1, 'weights': 'uniform'}",13,auto,uniform,1
0.900445613785584,"{'algorithm': 'auto', 'n_neighbors': 13, 'p': 1, 'weights': 'distance'}",13,auto,distance,1
0.9099504610206453,"{'algorithm': 'auto', 'n_neighbors': 13, 'p': 2, 'weights': 'uniform'}",13,auto,uniform,2
0.898497238616701,"{'algorithm': 'auto', 'n_neighbors': 13, 'p': 2, 'weights': 'distance'}",13,auto,distance,2
0.906050155253739,"{'algorithm': 'auto', 'n_neighbors': 14, 'p': 1, 'weights': 'uniform'}",14,auto,uniform,1
0.8977719310720804,"{'algorithm': 'auto', 'n_neighbors': 14, 'p': 1, 'weights': 'distance'}",14,auto,distance,1
0.906050155253739,"{'algorithm': 'auto', 'n_neighbors': 14, 'p': 2, 'weights': 'uniform'}",14,auto,uniform,2
0.8949441797624974,"{'algorithm': 'auto', 'n_neighbors': 14, 'p': 2, 'weights': 'distance'}",14,auto,distance,2
0.903971414349712,"{'algorithm': 'auto', 'n_neighbors': 15, 'p': 1, 'weights': 'uniform'}",15,auto,uniform,1
0.8971343241129205,"{'algorithm': 'auto', 'n_neighbors': 15, 'p': 1, 'weights': 'distance'}",15,auto,distance,1
0.903971414349712,"{'algorithm': 'auto', 'n_neighbors': 15, 'p': 2, 'weights': 'uniform'}",15,auto,uniform,2
0.8938254047263505,"{'algorithm': 'auto', 'n_neighbors': 15, 'p': 2, 'weights': 'distance'}",15,auto,distance,2
0.8794318424233806,"{'algorithm': 'ball_tree', 'n_neighbors': 2, 'p': 1, 'weights': 'uniform'}",2,ball_tree,uniform,1
0.8754189480670318,"{'algorithm': 'ball_tree', 'n_neighbors': 2, 'p': 1, 'weights': 'distance'}",2,ball_tree,distance,1
0.8794318424233806,"{'algorithm': 'ball_tree', 'n_neighbors': 2, 'p': 2, 'weights': 'uniform'}",2,ball_tree,uniform,2
0.8754189480670318,"{'algorithm': 'ball_tree', 'n_neighbors': 2, 'p': 2, 'weights': 'distance'}",2,ball_tree,distance,2
0.8892377159923202,"{'algorithm': 'ball_tree', 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",3,ball_tree,uniform,1
0.8833214819028656,"{'algorithm': 'ball_tree', 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",3,ball_tree,distance,1
0.8892377159923202,"{'algorithm': 'ball_tree', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",3,ball_tree,uniform,2
0.8833214819028656,"{'algorithm': 'ball_tree', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",3,ball_tree,distance,2
0.8914954134964092,"{'algorithm': 'ball_tree', 'n_neighbors': 4, 'p': 1, 'weights': 'uniform'}",4,ball_tree,uniform,1
0.8869610561994833,"{'algorithm': 'ball_tree', 'n_neighbors': 4, 'p': 1, 'weights': 'distance'}",4,ball_tree,distance,1
0.8914954134964092,"{'algorithm': 'ball_tree', 'n_neighbors': 4, 'p': 2, 'weights': 'uniform'}",4,ball_tree,uniform,2
0.8870606082154116,"{'algorithm': 'ball_tree', 'n_neighbors': 4, 'p': 2, 'weights': 'distance'}",4,ball_tree,distance,2
0.895198985517552,"{'algorithm': 'ball_tree', 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",5,ball_tree,uniform,1
0.8876792528858234,"{'algorithm': 'ball_tree', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",5,ball_tree,distance,1
0.895198985517552,"{'algorithm': 'ball_tree', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",5,ball_tree,uniform,2
0.8869989807769796,"{'algorithm': 'ball_tree', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",5,ball_tree,distance,2
0.9060039346749151,"{'algorithm': 'ball_tree', 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}",6,ball_tree,uniform,1
0.894115764772808,"{'algorithm': 'ball_tree', 'n_neighbors': 6, 'p': 1, 'weights': 'distance'}",6,ball_tree,distance,1
0.9060039346749151,"{'algorithm': 'ball_tree', 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}",6,ball_tree,uniform,2
0.8938242195833036,"{'algorithm': 'ball_tree', 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}",6,ball_tree,distance,2
0.903126407357368,"{'algorithm': 'ball_tree', 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",7,ball_tree,uniform,1
0.8944357533954349,"{'algorithm': 'ball_tree', 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",7,ball_tree,distance,1
0.903126407357368,"{'algorithm': 'ball_tree', 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",7,ball_tree,uniform,2
0.8943433122377871,"{'algorithm': 'ball_tree', 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",7,ball_tree,distance,2
0.9125637014387635,"{'algorithm': 'ball_tree', 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}",8,ball_tree,uniform,1
0.899883855981417,"{'algorithm': 'ball_tree', 'n_neighbors': 8, 'p': 1, 'weights': 'distance'}",8,ball_tree,distance,1
0.9125637014387635,"{'algorithm': 'ball_tree', 'n_neighbors': 8, 'p': 2, 'weights': 'uniform'}",8,ball_tree,uniform,2
0.899691862807841,"{'algorithm': 'ball_tree', 'n_neighbors': 8, 'p': 2, 'weights': 'distance'}",8,ball_tree,distance,2
0.9119166133352294,"{'algorithm': 'ball_tree', 'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",9,ball_tree,uniform,1
0.8996337907985493,"{'algorithm': 'ball_tree', 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",9,ball_tree,distance,1
